,chrom,start,end
0,chr1,3850000,5950000
1,chr1,5950000,6550000
2,chr1,6550000,7850000
3,chr1,7850000,10450000
4,chr1,10450000,11050000
5,chr1,11050000,11750000
6,chr1,11750000,14050000
7,chr1,14050000,15450000
8,chr1,15450000,16450000
9,chr1,16450000,16950000
10,chr1,16950000,17450000
11,chr1,17450000,19050000
12,chr1,19050000,19750000
13,chr1,19750000,20650000
14,chr1,20650000,21950000
15,chr1,21950000,23750000
16,chr1,23750000,24650000
17,chr1,24650000,26450000
18,chr1,26450000,28650000
19,chr1,28650000,29250000
20,chr1,29250000,30650000
21,chr1,30650000,33650000
22,chr1,33650000,34750000
23,chr1,34750000,36550000
24,chr1,36550000,37950000
25,chr1,37950000,38950000
26,chr1,38950000,39950000
27,chr1,39950000,40550000
28,chr1,40550000,42550000
29,chr1,42550000,44150000
30,chr1,44150000,44750000
31,chr1,44750000,45550000
32,chr1,45550000,46450000
33,chr1,46450000,47250000
34,chr1,47250000,50250000
35,chr1,50250000,51250000
36,chr1,51250000,53250000
37,chr1,53250000,53850000
38,chr1,53850000,55050000
39,chr1,55050000,56850000
40,chr1,56850000,58650000
41,chr1,58650000,59850000
42,chr1,59850000,60950000
43,chr1,60950000,62850000
44,chr1,62850000,63550000
45,chr1,63550000,64250000
46,chr1,64250000,65050000
47,chr1,65050000,65750000
48,chr1,65750000,68550000
49,chr1,68550000,70550000
50,chr1,70550000,74650000
51,chr1,74650000,75750000
52,chr1,75750000,77050000
53,chr1,77050000,78650000
54,chr1,78650000,79350000
55,chr1,79350000,80150000
56,chr1,80150000,83950000
57,chr1,83950000,85150000
58,chr1,85150000,87150000
59,chr1,87150000,88550000
60,chr1,88550000,90150000
61,chr1,90150000,91350000
62,chr1,91350000,91950000
63,chr1,91950000,92750000
64,chr1,92750000,95150000
65,chr1,95150000,96150000
66,chr1,96150000,96950000
67,chr1,96950000,98650000
68,chr1,98650000,99750000
69,chr1,99750000,101450000
70,chr1,101450000,104650000
71,chr1,104650000,105850000
