,chrom,start,end,mean_intensity
0,chr1,3750000,5950000,1.0836545045694324
1,chr1,5950000,7850000,1.6042668687467634
2,chr1,7850000,9650000,1.3821299149341744
3,chr1,9650000,10450000,1.2935396413941893
4,chr1,10450000,11150000,1.99923727989232
5,chr1,11150000,12050000,1.3510284139414424
6,chr1,12050000,13950000,
7,chr1,13950000,15150000,1.1301537767757488
8,chr1,15150000,17550000,1.3846131658239154
9,chr1,17550000,19150000,1.4785735348314428
10,chr1,19150000,19750000,1.2294737621635161
11,chr1,19750000,20650000,1.0579642687281132
12,chr1,20650000,23850000,1.6400699771319491
13,chr1,23850000,25250000,0.9328655283391051
14,chr1,25250000,26950000,1.2006136645699594
15,chr1,26950000,27750000,1.1898457025465126
16,chr1,27750000,29250000,1.4893678454497252
17,chr1,29250000,30850000,0.9594004210192084
18,chr1,30850000,32350000,1.540251194376662
19,chr1,32350000,33550000,0.8888824691184235
20,chr1,33550000,34650000,0.9502494802855127
21,chr1,34650000,36450000,1.284736753759588
22,chr1,36450000,37950000,1.4237138807511787
23,chr1,37950000,38950000,1.3931944608087157
24,chr1,38950000,40050000,1.1629262467802643
25,chr1,40050000,41150000,1.13870562735094
26,chr1,41150000,42850000,0.9087616867074235
27,chr1,42850000,44050000,1.293121808151503
28,chr1,44050000,44650000,1.500588181008568
29,chr1,44650000,46350000,1.3045313297496246
30,chr1,46350000,47150000,0.8941300060383776
31,chr1,47150000,48450000,1.357706645471395
32,chr1,48450000,50450000,1.2504453675828027
33,chr1,50450000,51850000,0.9955113020854279
34,chr1,51850000,53250000,1.2854173348296645
35,chr1,53250000,53850000,1.2237291746004317
36,chr1,53850000,55150000,0.9360135800862214
37,chr1,55150000,56750000,0.7754175628034362
38,chr1,56750000,58650000,0.905022143614628
39,chr1,58650000,59850000,1.0539580591124222
40,chr1,59850000,62850000,1.0788358175753923
41,chr1,62850000,63550000,1.0599973868011603
42,chr1,63550000,64250000,1.1731990489733073
43,chr1,64250000,64950000,1.0088050040089378
44,chr1,64950000,65850000,1.164712386072478
45,chr1,65850000,66650000,1.0197142793672156
46,chr1,66650000,68450000,1.2082835108494752
47,chr1,68450000,70050000,1.1859358547149055
48,chr1,70050000,71050000,0.7855267375748478
49,chr1,71050000,74650000,1.1440362744727008
50,chr1,74650000,75850000,0.5631599020247557
51,chr1,75850000,77050000,0.9070797735697601
52,chr1,77050000,78050000,0.8530628901047815
53,chr1,78050000,78750000,1.2470223141871515
54,chr1,78750000,81950000,1.163200446049757
55,chr1,81950000,83950000,1.0331796130662623
56,chr1,83950000,85050000,1.2157598475446516
57,chr1,85050000,86950000,1.1873869751032118
58,chr1,86950000,88850000,0.9963681575901658
59,chr1,88850000,90050000,0.9743568093170453
60,chr1,90050000,91250000,1.000725699613772
61,chr1,91250000,92950000,1.4002776891033488
62,chr1,92950000,93950000,1.2272558338202357
63,chr1,93950000,95150000,1.2737558654178127
64,chr1,95150000,98550000,0.7440543372985018
65,chr1,98550000,99750000,1.015827483614547
66,chr1,99750000,101450000,1.3323042435000148
67,chr1,101450000,103050000,1.2145666366563659
68,chr1,103050000,105750000,1.2595363104430362
69,chr1,105750000,109050000,1.1440875802484
70,chr1,109050000,111350000,1.2072153309396871
71,chr1,111350000,112450000,0.7053977039164407
72,chr1,112450000,113750000,0.9350813244931842
73,chr1,113750000,114850000,1.0137565815642133
74,chr1,114850000,116050000,0.953072685467301
75,chr1,116050000,117950000,0.8180328378422989
76,chr1,117950000,150350000,
77,chr1,150350000,151150000,1.0197531005448939
78,chr1,151150000,151950000,1.0353671076969173
79,chr1,151950000,153450000,0.6358925521710156
80,chr1,153450000,155150000,0.7992364342695474
81,chr1,155150000,157050000,0.8421246003452412
82,chr1,157050000,159050000,0.5867250815550134
83,chr1,159050000,160450000,0.5988056337294893
84,chr1,160450000,162550000,0.9305146161233028
85,chr1,162550000,163350000,1.1085876797075098
86,chr1,163350000,165050000,1.1216216440669926
87,chr1,165050000,166950000,1.0277402524156942
