,chrom,start,end,region,is_bad_bin,log2_insulation_score_400000,n_valid_pixels_400000,boundary_strength_400000,is_boundary_400000
0,chr1,0,100000,chr1,True,,0.0,,False
1,chr1,100000,200000,chr1,True,,0.0,,False
2,chr1,200000,300000,chr1,True,,0.0,,False
3,chr1,300000,400000,chr1,True,,0.0,,False
4,chr1,400000,500000,chr1,True,,0.0,,False
5,chr1,500000,600000,chr1,True,,0.0,,False
6,chr1,600000,700000,chr1,False,-2.443751039643971,2.0,,False
7,chr1,700000,800000,chr1,True,-3.028713540365127,3.0,,False
8,chr1,800000,900000,chr1,False,-1.1388828478225843,6.0,,False
9,chr1,900000,1000000,chr1,False,-0.07534380927483021,6.0,,False
10,chr1,1000000,1100000,chr1,False,0.998232239469615,6.0,,False
11,chr1,1100000,1200000,chr1,False,1.093446543571115,10.0,,False
12,chr1,1200000,1300000,chr1,True,1.041011811634599,9.0,,False
13,chr1,1300000,1400000,chr1,False,1.1880227868981672,7.0,,False
14,chr1,1400000,1500000,chr1,False,1.212541514045484,3.0,,False
15,chr1,1500000,1600000,chr1,False,0.16198049477724785,4.0,,False
16,chr1,1600000,1700000,chr1,True,-0.5299099953121837,6.0,,False
17,chr1,1700000,1800000,chr1,True,-0.5258866179089958,6.0,,False
18,chr1,1800000,1900000,chr1,False,0.1795923851363218,6.0,,False
19,chr1,1900000,2000000,chr1,False,0.6654487300943368,5.0,,False
20,chr1,2000000,2100000,chr1,False,0.5504126821638747,9.0,,False
21,chr1,2100000,2200000,chr1,False,0.5409644027416184,13.0,0.35806889216589477,False
22,chr1,2200000,2300000,chr1,False,0.6284207963610935,13.0,,False
23,chr1,2300000,2400000,chr1,False,0.8990332949075132,9.0,,False
24,chr1,2400000,2500000,chr1,False,0.5773603561362647,5.0,,False
25,chr1,2500000,2600000,chr1,False,0.5129506538222073,2.0,,False
26,chr1,2600000,2700000,chr1,True,-0.4612136094854891,3.0,,False
27,chr1,2700000,2800000,chr1,True,-0.39527691020577427,4.0,,False
28,chr1,2800000,2900000,chr1,True,-0.14421333234938571,2.0,,False
29,chr1,2900000,3000000,chr1,False,,0.0,,False
30,chr1,3000000,3100000,chr1,False,0.29800595772066324,2.0,,False
31,chr1,3100000,3200000,chr1,True,0.9482977369897384,4.0,,False
32,chr1,3200000,3300000,chr1,True,0.5620501831241258,6.0,,False
33,chr1,3300000,3400000,chr1,False,0.028757799423130948,6.0,,False
34,chr1,3400000,3500000,chr1,False,0.2703463148847215,5.0,,False
35,chr1,3500000,3600000,chr1,False,0.07805858623778059,9.0,0.17410684120205608,False
36,chr1,3600000,3700000,chr1,False,0.25216542743983666,13.0,,False
37,chr1,3700000,3800000,chr1,False,-0.20873327759996702,13.0,0.004759655013317182,False
38,chr1,3800000,3900000,chr1,False,-0.20397362258664983,13.0,,False
39,chr1,3900000,4000000,chr1,False,-0.43157439534522984,13.0,0.9279368683256428,True
40,chr1,4000000,4100000,chr1,False,0.05577970973178725,9.0,,False
41,chr1,4100000,4200000,chr1,False,0.3518939749389116,9.0,,False
