,chrom,start,end,region,is_bad_bin,log2_insulation_score_400000,n_valid_pixels_400000,boundary_strength_400000,is_boundary_400000
0,chr1,0,100000,chr1,True,,0.0,,False
1,chr1,100000,200000,chr1,True,,0.0,,False
2,chr1,200000,300000,chr1,True,,0.0,,False
3,chr1,300000,400000,chr1,True,,0.0,,False
4,chr1,400000,500000,chr1,True,,0.0,,False
5,chr1,500000,600000,chr1,True,,0.0,,False
6,chr1,600000,700000,chr1,True,,0.0,,False
7,chr1,700000,800000,chr1,True,,0.0,,False
8,chr1,800000,900000,chr1,False,,0.0,,False
9,chr1,900000,1000000,chr1,True,,0.0,,False
10,chr1,1000000,1100000,chr1,True,,0.0,,False
11,chr1,1100000,1200000,chr1,True,,0.0,,False
12,chr1,1200000,1300000,chr1,True,,0.0,,False
13,chr1,1300000,1400000,chr1,True,,0.0,,False
14,chr1,1400000,1500000,chr1,True,,0.0,,False
15,chr1,1500000,1600000,chr1,True,,0.0,,False
16,chr1,1600000,1700000,chr1,True,,0.0,,False
17,chr1,1700000,1800000,chr1,True,,0.0,,False
18,chr1,1800000,1900000,chr1,True,,0.0,,False
19,chr1,1900000,2000000,chr1,False,1.8929655360456226,1.0,,False
20,chr1,2000000,2100000,chr1,True,1.3224255953415556,2.0,,False
21,chr1,2100000,2200000,chr1,False,1.5618296636982714,3.0,,False
22,chr1,2200000,2300000,chr1,True,1.362571435008503,2.0,,False
23,chr1,2300000,2400000,chr1,False,1.9467743309232062,1.0,,False
24,chr1,2400000,2500000,chr1,True,,0.0,,False
25,chr1,2500000,2600000,chr1,True,,0.0,,False
26,chr1,2600000,2700000,chr1,True,-0.43000292915427607,1.0,,False
27,chr1,2700000,2800000,chr1,True,,0.0,,False
28,chr1,2800000,2900000,chr1,True,,0.0,,False
29,chr1,2900000,3000000,chr1,False,0.9092031433137616,1.0,,False
30,chr1,3000000,3100000,chr1,False,1.7195642773604172,4.0,,False
31,chr1,3100000,3200000,chr1,True,1.6344369395546021,6.0,,False
32,chr1,3200000,3300000,chr1,False,1.3862575923464102,10.0,,False
33,chr1,3300000,3400000,chr1,False,1.3632951018213832,6.0,,False
34,chr1,3400000,3500000,chr1,False,0.879649726443476,6.0,,False
35,chr1,3500000,3600000,chr1,False,0.1900641216364738,10.0,,False
36,chr1,3600000,3700000,chr1,True,-0.2730396995677395,9.0,,False
37,chr1,3700000,3800000,chr1,False,-0.4539438742970497,10.0,,False
38,chr1,3800000,3900000,chr1,False,-0.7970755250048435,9.0,2.261241286369869,True
39,chr1,3900000,4000000,chr1,False,-0.26239907310946947,9.0,,False
40,chr1,4000000,4100000,chr1,False,-0.015240867641265024,9.0,,False
41,chr1,4100000,4200000,chr1,False,0.3571986591168928,9.0,,False
42,chr1,4200000,4300000,chr1,False,0.6678580949792261,10.0,,False
43,chr1,4300000,4400000,chr1,True,0.576977651522219,9.0,,False
44,chr1,4400000,4500000,chr1,False,0.3304014045894605,10.0,,False
45,chr1,4500000,4600000,chr1,False,0.11632077403042412,9.0,0.4614519144975791,False
